condition_key,graph_id,evidence_level,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,rho_sensitivity,beta_sensitivity,cross_axis_js,diagnostic_score
RG036_medium,RG036,medium,5,3,D3-0:no-remote,0,0,0,1,0.000146,0.000178,0.000311,0.000457
RG036_low,RG036,low,5,3,D3-0:no-remote,0,0,0,1,1e-06,5e-06,6e-06,7e-06
RG037_high,RG037,high,5,4,D3-0:no-remote,0,0,0,1,0.002039,0.00113,0.002869,0.003999
RG037_medium,RG037,medium,5,4,D3-0:no-remote,0,0,0,1,0.000182,3.9e-05,0.000238,0.000277
RG037_low,RG037,low,5,4,D3-0:no-remote,0,0,0,1,1e-06,8e-06,9e-06,1e-05
RG038_high,RG038,high,5,4,D3-0:no-remote,0,0,0,1,0.002016,0.000153,0.002149,0.002303
RG038_medium,RG038,medium,5,4,D3-0:no-remote,0,0,0,1,0.000108,2.1e-05,0.000138,0.000158
RG038_low,RG038,low,5,4,D3-0:no-remote,0,0,0,1,1e-06,5e-06,6e-06,7e-06
RG039_high,RG039,high,5,3,D3-0:no-remote,0,0,0,1,0.001532,0.001547,0.003012,0.004544
RG039_medium,RG039,medium,5,3,D3-0:no-remote,0,0,0,1,0.000142,0.000122,0.000259,0.000381
RG039_low,RG039,low,5,3,D3-0:no-remote,0,0,0,1,1e-06,4e-06,5e-06,6e-06
RG040_high,RG040,high,5,2,D3-0:no-remote,0,0,0,1,0.001348,0.000226,0.00159,0.001816
RG040_medium,RG040,medium,5,2,D3-0:no-remote,0,0,0,1,5.4e-05,3.3e-05,9.4e-05,0.000127
RG040_low,RG040,low,5,2,D3-0:no-remote,0,0,0,1,0.0,5e-06,5e-06,5e-06
RG041_high,RG041,high,4,3,D3-1:tree-like-remote,1,1,0,2,0.001672,0.013944,0.014976,0.016647
RG041_medium,RG041,medium,4,3,D3-1:tree-like-remote,1,1,0,2,0.000362,0.001651,0.001925,0.002287
RG041_low,RG041,low,4,3,D3-1:tree-like-remote,1,1,0,2,6e-06,3.7e-05,4.1e-05,4.8e-05
RG042_high,RG042,high,4,3,D3-2:strong-remote,1,2,0,2,0.001898,0.015207,0.016274,0.018172
RG042_medium,RG042,medium,4,3,D3-2:strong-remote,1,2,0,2,0.00039,0.001976,0.00219,0.00258
RG042_low,RG042,low,4,3,D3-2:strong-remote,1,2,0,2,7e-06,4.9e-05,5e-05,5.7e-05
RG043_high,RG043,high,4,3,D3-2:strong-remote,1,3,0,2,0.001853,0.015314,0.016208,0.018061
RG043_medium,RG043,medium,4,3,D3-2:strong-remote,1,3,0,2,0.000321,0.001925,0.002,0.002321
RG043_low,RG043,low,4,3,D3-2:strong-remote,1,3,0,2,4e-06,4.8e-05,4.4e-05,4.8e-05
RG044_high,RG044,high,4,2,D3-1:tree-like-remote,1,1,0,2,0.000832,0.008897,0.009483,0.010315
RG044_medium,RG044,medium,4,2,D3-1:tree-like-remote,1,1,0,2,0.000295,0.001255,0.001495,0.00179
RG044_low,RG044,low,4,2,D3-1:tree-like-remote,1,1,0,2,5e-06,3.5e-05,3.9e-05,4.5e-05
RG045_high,RG045,high,4,3,D3-1:tree-like-remote,1,1,0,2,0.001947,0.007696,0.009419,0.011367
RG045_medium,RG045,medium,4,3,D3-1:tree-like-remote,1,1,0,2,0.000354,0.001221,0.00153,0.001885
RG045_low,RG045,low,4,3,D3-1:tree-like-remote,1,1,0,2,7e-06,3.4e-05,4e-05,4.7e-05
RG046_high,RG046,high,4,3,D3-2:strong-remote,1,2,0,2,0.002499,0.009106,0.011372,0.013871
RG046_medium,RG046,medium,4,3,D3-2:strong-remote,1,2,0,2,0.000807,0.00223,0.002987,0.003794
RG046_low,RG046,low,4,3,D3-2:strong-remote,1,2,0,2,3.8e-05,0.000104,0.000141,0.000179
RG047_high,RG047,high,4,4,D3-2:strong-remote,1,2,0,2,0.002168,0.010073,0.011898,0.014066
RG047_medium,RG047,medium,4,4,D3-2:strong-remote,1,2,0,2,0.000954,0.003042,0.003858,0.004812
RG047_low,RG047,low,4,4,D3-2:strong-remote,1,2,0,2,5.2e-05,0.000151,0.000201,0.000254
RG048_high,RG048,high,4,4,D3-2:strong-remote,1,3,0,2,0.003008,0.016749,0.018764,0.021772
RG048_medium,RG048,medium,4,4,D3-2:strong-remote,1,3,0,2,0.001115,0.003782,0.004599,0.005714
RG048_low,RG048,low,4,4,D3-2:strong-remote,1,3,0,2,5.8e-05,0.000188,0.000237,0.000295
RG049_high,RG049,high,4,4,D3-2:strong-remote,1,4,0,2,0.00308,0.017269,0.019253,0.022333
RG049_medium,RG049,medium,4,4,D3-2:strong-remote,1,4,0,2,0.001234,0.004062,0.004839,0.006073
RG049_low,RG049,low,4,4,D3-2:strong-remote,1,4,0,2,7.2e-05,0.000225,0.000274,0.000346
RG050_high,RG050,high,4,3,D3-2:strong-remote,1,3,0,2,0.002486,0.016062,0.017652,0.020138
RG050_medium,RG050,medium,4,3,D3-2:strong-remote,1,3,0,2,0.000968,0.003352,0.0041,0.005069
RG050_low,RG050,low,4,3,D3-2:strong-remote,1,3,0,2,5.2e-05,0.000172,0.000216,0.000269
RG051_high,RG051,high,4,3,D3-2:strong-remote,1,4,0,2,0.002572,0.016607,0.01811,0.020682
RG051_medium,RG051,medium,4,3,D3-2:strong-remote,1,4,0,2,0.00101,0.003471,0.004143,0.005153
RG051_low,RG051,low,4,3,D3-2:strong-remote,1,4,0,2,5.9e-05,0.000191,0.000234,0.000294
RG052_high,RG052,high,4,4,D3-1:tree-like-remote,1,1,0,2,0.001663,0.008718,0.01003,0.011693
RG052_medium,RG052,medium,4,4,D3-1:tree-like-remote,1,1,0,2,0.000398,0.00172,0.001984,0.002382
RG052_low,RG052,low,4,4,D3-1:tree-like-remote,1,1,0,2,9e-06,5.1e-05,5.7e-05,6.6e-05
RG053_high,RG053,high,4,4,D3-2:strong-remote,1,2,0,2,0.001989,0.013567,0.014644,0.016632
RG053_medium,RG053,medium,4,4,D3-2:strong-remote,1,2,0,2,0.000352,0.001911,0.002031,0.002383
RG053_low,RG053,low,4,4,D3-2:strong-remote,1,2,0,2,6e-06,5.5e-05,5.4e-05,6e-05
RG054_high,RG054,high,4,3,D3-2:strong-remote,1,2,0,2,0.002507,0.008968,0.011259,0.013767
RG054_medium,RG054,medium,4,3,D3-2:strong-remote,1,2,0,2,0.000818,0.002197,0.002973,0.003791
RG054_low,RG054,low,4,3,D3-2:strong-remote,1,2,0,2,3.9e-05,0.000103,0.000141,0.000181
RG055_high,RG055,high,4,3,D3-2:strong-remote,1,3,0,2,0.002459,0.016016,0.017505,0.019963
RG055_medium,RG055,medium,4,3,D3-2:strong-remote,1,3,0,2,0.000795,0.002976,0.00357,0.004364
RG055_low,RG055,low,4,3,D3-2:strong-remote,1,3,0,2,3.7e-05,0.000137,0.000168,0.000206
RG056_high,RG056,high,4,3,D3-2:strong-remote,1,2,0,2,0.002469,0.011861,0.013706,0.016175
RG056_medium,RG056,medium,4,3,D3-2:strong-remote,1,2,0,2,0.000398,0.001553,0.001836,0.002234
RG056_low,RG056,low,4,3,D3-2:strong-remote,1,2,0,2,7e-06,4.6e-05,4.9e-05,5.7e-05
RG057_high,RG057,high,4,2,D3-2:strong-remote,1,2,0,2,0.002409,0.015134,0.016995,0.019404
RG057_medium,RG057,medium,4,2,D3-2:strong-remote,1,2,0,2,0.000723,0.002096,0.00277,0.003492
RG057_low,RG057,low,4,2,D3-2:strong-remote,1,2,0,2,3.4e-05,9e-05,0.000122,0.000156
RG058_high,RG058,high,4,2,D3-2:strong-remote,1,3,0,2,0.002977,0.017476,0.019671,0.022648
RG058_medium,RG058,medium,4,2,D3-2:strong-remote,1,3,0,2,0.000987,0.002863,0.0037,0.004687
RG058_low,RG058,low,4,2,D3-2:strong-remote,1,3,0,2,4.7e-05,0.000132,0.000173,0.00022
RG059_high,RG059,high,4,2,D3-2:strong-remote,1,4,0,2,0.002572,0.017487,0.018689,0.021261
RG059_medium,RG059,medium,4,2,D3-2:strong-remote,1,4,0,2,0.001002,0.003406,0.004079,0.005081
RG059_low,RG059,low,4,2,D3-2:strong-remote,1,4,0,2,5.2e-05,0.000168,0.000206,0.000258
RG060_high,RG060,high,4,2,D3-2:strong-remote,1,3,0,2,0.002554,0.017207,0.018551,0.021105
RG060_medium,RG060,medium,4,2,D3-2:strong-remote,1,3,0,2,0.000982,0.003292,0.004059,0.005042
RG060_low,RG060,low,4,2,D3-2:strong-remote,1,3,0,2,4.7e-05,0.000149,0.00019,0.000236
