graph_id,evidence_level,family,target,choice_probability,belief_p_R,belief_p_G,belief_p_B
RG036,high,M_star,4,0.222478,0.171174,0.738377,0.090449
RG036,high,M_star,5,0.121691,0.158388,0.683224,0.158388
RG036,high,M_cluster,0,0.21448,0.080782,0.838435,0.080782
RG036,high,M_cluster,3,0.381472,0.025376,0.108297,0.866327
RG036,high,M_cluster,4,0.381472,0.866327,0.108297,0.025376
RG036,high,M_cluster,5,0.022575,0.456171,0.087658,0.456171
RG100,high,M_exact,0,0.325314,0.081994,0.066911,0.851095
RG100,high,M_exact,3,0.570209,0.024702,0.879195,0.096103
RG100,high,M_exact,4,0.052239,0.491956,0.037996,0.470048
RG100,high,M_exact,5,0.052239,0.491956,0.037996,0.470048
RG100,high,M_0,0,0.586657,0.098391,0.098391,0.803217
RG100,high,M_0,3,0.137781,0.057714,0.471143,0.471143
RG100,high,M_0,4,0.137781,0.471143,0.057714,0.471143
RG100,high,M_0,5,0.137781,0.471143,0.057714,0.471143
RG100,high,M_rho,0,0.611618,0.084457,0.075318,0.840225
RG100,high,M_rho,3,0.175836,0.037829,0.662795,0.299376
RG100,high,M_rho,4,0.106273,0.486282,0.043372,0.470346
RG100,high,M_rho,5,0.106273,0.486282,0.043372,0.470346
RG100,high,"M_rho,beta",0,0.448016,0.14056,0.119091,0.740349
RG100,high,"M_rho,beta",3,0.194593,0.076535,0.556417,0.367049
RG100,high,"M_rho,beta",4,0.178696,0.468677,0.073627,0.457696
RG100,high,"M_rho,beta",5,0.178696,0.468677,0.073627,0.457696
RG100,high,M_star,0,0.393676,0.098391,0.098391,0.803217
RG100,high,M_star,3,0.202108,0.090449,0.171174,0.738377
RG100,high,M_star,4,0.202108,0.171174,0.090449,0.738377
RG100,high,M_star,5,0.202108,0.171174,0.090449,0.738377
RG100,high,M_cluster,0,0.325321,0.081994,0.066911,0.851095
RG100,high,M_cluster,3,0.57022,0.024702,0.879195,0.096103
RG100,high,M_cluster,4,0.052229,0.491943,0.038008,0.470049
RG100,high,M_cluster,5,0.052229,0.491943,0.038008,0.470049
