graph_id,evidence_level,family,p_R,p_G,p_B
RG011,low,M_exact,0.38995,0.307155,0.302895
RG011,low,M_0,0.333333,0.333333,0.333333
RG011,low,M_rho,0.360451,0.321336,0.318213
RG011,low,"M_rho,beta",0.348899,0.326005,0.325096
RG011,low,M_star,0.306338,0.346831,0.346831
RG011,low,M_cluster,0.38995,0.307155,0.302895
RG012,high,M_exact,0.042405,0.915191,0.042405
RG012,high,M_0,0.333333,0.333333,0.333333
RG012,high,M_rho,0.123599,0.752803,0.123599
RG012,high,"M_rho,beta",0.23948,0.521039,0.23948
RG012,high,M_star,0.448064,0.103872,0.448064
RG012,high,M_cluster,0.149046,0.701908,0.149046
RG012,medium,M_exact,0.18375,0.632499,0.18375
RG012,medium,M_0,0.333333,0.333333,0.333333
RG012,medium,M_rho,0.236166,0.527669,0.236166
RG012,medium,"M_rho,beta",0.277508,0.444985,0.277508
RG012,medium,M_star,0.387324,0.225352,0.387324
RG012,medium,M_cluster,0.216265,0.56747,0.216265
RG012,low,M_exact,0.30029,0.399419,0.30029
RG012,low,M_0,0.333333,0.333333,0.333333
RG012,low,M_rho,0.313,0.374,0.313
RG012,low,"M_rho,beta",0.321478,0.357044,0.321478
RG012,low,M_star,0.346831,0.306338,0.346831
RG012,low,M_cluster,0.303415,0.393169,0.303415
RG013,high,M_exact,0.069909,0.852652,0.077439
RG013,high,M_0,0.333333,0.333333,0.333333
RG013,high,M_rho,0.132059,0.683567,0.184373
RG013,high,"M_rho,beta",0.238098,0.489015,0.272887
RG013,high,M_star,0.448064,0.103872,0.448064
RG013,high,M_cluster,0.047334,0.86663,0.086036
RG013,medium,M_exact,0.2287,0.538686,0.232614
RG013,medium,M_0,0.333333,0.333333,0.333333
RG013,medium,M_rho,0.25494,0.473726,0.271335
RG013,medium,"M_rho,beta",0.285261,0.414803,0.299935
RG013,medium,M_star,0.387324,0.225352,0.387324
RG013,medium,M_cluster,0.161612,0.607796,0.230593
RG013,low,M_exact,0.314602,0.369912,0.315486
RG013,low,M_0,0.333333,0.333333,0.333333
RG013,low,M_rho,0.319847,0.358863,0.32129
RG013,low,"M_rho,beta",0.324966,0.348538,0.326496
RG013,low,M_star,0.346831,0.306338,0.346831
RG013,low,M_cluster,0.29896,0.393933,0.307107
RG014,high,M_exact,0.099457,0.801086,0.099457
RG014,high,M_0,0.333333,0.333333,0.333333
RG014,high,M_rho,0.187111,0.625778,0.187111
RG014,high,"M_rho,beta",0.269472,0.461056,0.269472
RG014,high,M_star,0.448064,0.103872,0.448064
RG014,high,M_cluster,0.099457,0.801086,0.099457
RG014,medium,M_exact,0.257587,0.484826,0.257587
RG014,medium,M_0,0.333333,0.333333,0.333333
RG014,medium,M_rho,0.283446,0.433109,0.283446
RG014,medium,"M_rho,beta",0.305022,0.389957,0.305022
RG014,medium,M_star,0.387324,0.225352,0.387324
RG014,medium,M_cluster,0.257587,0.484826,0.257587
RG014,low,M_exact,0.322565,0.35487,0.322565
RG014,low,M_0,0.333333,0.333333,0.333333
RG014,low,M_rho,0.326028,0.347944,0.326028
RG014,low,"M_rho,beta",0.329163,0.341674,0.329163
RG014,low,M_star,0.346831,0.306338,0.346831
RG014,low,M_cluster,0.322565,0.35487,0.322565
RG015,high,M_exact,0.720968,0.139516,0.139516
RG015,high,M_0,0.333333,0.333333,0.333333
RG015,high,M_rho,0.550264,0.224868,0.224868
RG015,high,"M_rho,beta",0.430292,0.284854,0.284854
RG015,high,M_star,0.103872,0.448064,0.448064
RG015,high,M_cluster,0.720968,0.139516,0.139516
RG015,medium,M_exact,0.437206,0.281397,0.281397
RG015,medium,M_0,0.333333,0.333333,0.333333
RG015,medium,M_rho,0.402533,0.298733,0.298733
RG015,medium,"M_rho,beta",0.375948,0.312026,0.312026
RG015,medium,M_star,0.225352,0.387324,0.387324
RG015,medium,M_cluster,0.437206,0.281397,0.281397
RG015,low,M_exact,0.351456,0.324272,0.324272
RG015,low,M_0,0.333333,0.333333,0.333333
RG015,low,M_rho,0.345801,0.3271,0.3271
RG015,low,"M_rho,beta",0.341408,0.329296,0.329296
RG015,low,M_star,0.306338,0.346831,0.346831
RG015,low,M_cluster,0.351456,0.324272,0.324272
RG016,high,M_exact,0.784236,0.104758,0.111006
RG016,high,M_0,0.333333,0.333333,0.333333
RG016,high,M_rho,0.600084,0.178718,0.221198
RG016,high,"M_rho,beta",0.455177,0.257156,0.287666
RG016,high,M_star,0.103872,0.448064,0.448064
RG016,high,M_cluster,0.787994,0.090128,0.121877
RG016,medium,M_exact,0.49013,0.253806,0.256064
RG016,medium,M_0,0.333333,0.333333,0.333333
RG016,medium,M_rho,0.439923,0.274562,0.285515
RG016,medium,"M_rho,beta",0.399358,0.294751,0.305891
RG016,medium,M_star,0.225352,0.387324,0.387324
RG016,medium,M_cluster,0.542871,0.209013,0.248116
RG016,low,M_exact,0.366554,0.316493,0.316953
RG016,low,M_0,0.333333,0.333333,0.333333
RG016,low,M_rho,0.356635,0.321226,0.322139
RG016,low,"M_rho,beta",0.348394,0.325243,0.326362
RG016,low,M_star,0.306338,0.346831,0.346831
RG016,low,M_cluster,0.38995,0.302895,0.307155
RG017,high,M_exact,0.085274,0.829451,0.085274
RG017,high,M_0,0.333333,0.333333,0.333333
RG017,high,M_rho,0.175285,0.64943,0.175285
RG017,high,"M_rho,beta",0.259273,0.481454,0.259273
RG017,high,M_star,0.448064,0.103872,0.448064
RG017,high,M_cluster,0.149046,0.701908,0.149046
RG017,medium,M_exact,0.23586,0.52828,0.23586
RG017,medium,M_0,0.333333,0.333333,0.333333
RG017,medium,M_rho,0.263271,0.473458,0.263271
RG017,medium,"M_rho,beta",0.288476,0.423048,0.288476
RG017,medium,M_star,0.387324,0.225352,0.387324
RG017,medium,M_cluster,0.216265,0.56747,0.216265
RG017,low,M_exact,0.310737,0.378527,0.310737
RG017,low,M_0,0.333333,0.333333,0.333333
RG017,low,M_rho,0.316649,0.366703,0.316649
