graph_id,evidence_level,selected_in_analysis_3,n_nodes,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,mean_js_all_pairs,min_js_all_pairs,mean_tv_all_pairs,exact_vs_rho_js,rho_vs_star_js,star_vs_cluster_js,exact_vs_star_js,cluster_vs_exact_js,M0_vs_nonlocal_mean_js
RG021,low,False,5,2,0,D3-2:strong-remote,2,3,0,2,0.000758,1.1e-05,0.030831,4e-05,0.001244,0.003004,0.001721,0.000318,0.000531
RG022,high,False,5,2,0,D3-2:strong-remote,2,4,0,2,0.061208,1.7e-05,0.269994,0.029562,0.080344,0.197984,0.194679,1.7e-05,0.047913
RG022,medium,False,5,2,0,D3-2:strong-remote,2,4,0,2,0.012959,0.000241,0.13353,0.000633,0.02743,0.050764,0.036247,0.001276,0.008805
RG022,low,False,5,2,0,D3-2:strong-remote,2,4,0,2,0.000826,1e-05,0.032938,1.6e-05,0.0014,0.00364,0.001718,0.000358,0.000563
RG023,high,False,5,2,0,D3-2:strong-remote,2,4,1,2,0.054028,0.000203,0.253291,0.035973,0.077616,0.141329,0.204893,0.007238,0.04118
RG023,medium,False,5,2,0,D3-2:strong-remote,2,4,1,2,0.010063,4e-05,0.11273,0.000881,0.026669,0.028748,0.037062,0.000545,0.006444
RG023,low,False,5,2,0,D3-2:strong-remote,2,4,1,2,0.000451,1e-06,0.022103,1e-06,0.001317,0.001482,0.001397,1e-06,0.000277
RG024,high,False,5,2,0,D3-2:strong-remote,2,3,1,2,0.033434,0.002698,0.18012,0.033366,0.059147,0.042883,0.117555,0.02364,0.027356
RG024,medium,False,5,2,0,D3-2:strong-remote,2,3,1,2,0.010988,0.000387,0.120625,0.003036,0.016712,0.027246,0.025141,0.004895,0.008883
RG024,low,False,5,2,0,D3-2:strong-remote,2,3,1,2,0.000971,2.4e-05,0.034664,0.000133,0.001058,0.003136,0.001467,0.000806,0.00074
RG025,high,False,5,2,0,D3-2:strong-remote,2,2,1,2,0.043238,0.0,0.205873,0.029804,0.046613,0.134477,0.134477,0.0,0.03132
RG025,medium,False,5,2,0,D3-2:strong-remote,2,2,1,2,0.00785,0.0,0.097361,0.001606,0.016377,0.027705,0.027705,0.0,0.004572
RG025,low,False,5,2,0,D3-2:strong-remote,2,2,1,2,0.000341,0.0,0.019342,3e-05,0.000848,0.001192,0.001192,0.0,0.000185
RG026,high,False,5,2,0,D3-1:tree-like-remote,2,2,0,2,0.051828,0.0,0.242019,0.017082,0.084138,0.168229,0.168229,0.0,0.040776
RG026,medium,False,5,2,0,D3-1:tree-like-remote,2,2,0,2,0.00857,0.0,0.102487,0.00061,0.021513,0.029259,0.029259,0.0,0.005135
RG026,low,False,5,2,0,D3-1:tree-like-remote,2,2,0,2,0.000357,0.0,0.019712,1.8e-05,0.000946,0.001222,0.001222,0.0,0.000198
RG027,high,False,5,2,0,D3-2:strong-remote,2,2,1,2,0.052934,0.0,0.245371,0.017192,0.086173,0.171329,0.171329,0.0,0.041917
RG027,medium,False,5,2,0,D3-2:strong-remote,2,2,1,2,0.007977,0.0,0.096786,0.000302,0.021405,0.026726,0.026726,0.0,0.004681
RG027,low,False,5,2,0,D3-2:strong-remote,2,2,1,2,0.000287,0.0,0.016059,0.0,0.00089,0.000898,0.000898,0.0,0.000149
RG028,high,False,6,5,0,D3-0:no-remote,0,0,0,1,0.000784,0.0,0.01521,0.0,0.0,0.0,0.0,0.0,0.000471
RG028,medium,False,6,5,0,D3-0:no-remote,0,0,0,1,0.000188,0.0,0.007989,0.0,0.0,0.0,0.0,0.0,0.000113
RG028,low,False,6,5,0,D3-0:no-remote,0,0,0,1,2.1e-05,0.0,0.003024,0.0,0.0,0.0,0.0,0.0,1.3e-05
RG029,high,False,6,5,1,D3-0:no-remote,0,0,0,1,0.02176,0.0,0.147997,0.018465,0.009106,0.052131,0.052131,0.0,0.025272
RG029,medium,False,6,5,1,D3-0:no-remote,0,0,0,1,0.001031,0.0,0.034476,0.000402,0.000856,0.002429,0.002429,0.0,0.001377
RG029,low,False,6,5,1,D3-0:no-remote,0,0,0,1,1.1e-05,0.0,0.003742,3e-06,8e-06,2e-05,2e-05,0.0,1.5e-05
RG030,high,False,6,5,2,D3-0:no-remote,0,0,0,1,0.023945,0.0,0.154236,0.029047,0.005407,0.055724,0.055724,0.0,0.025313
RG030,medium,False,6,5,2,D3-0:no-remote,0,0,0,1,0.001143,0.0,0.03702,0.000851,0.000656,0.002737,0.002737,0.0,0.00142
RG030,low,False,6,5,2,D3-0:no-remote,0,0,0,1,1.5e-05,0.0,0.004274,7e-06,8e-06,2.8e-05,2.8e-05,0.0,1.9e-05
RG031,high,False,6,5,3,D3-0:no-remote,0,0,0,1,0.01443,0.0,0.138215,0.002964,0.015416,0.031646,0.031646,0.0,0.016204
RG031,medium,False,6,5,3,D3-0:no-remote,0,0,0,1,0.004553,0.0,0.077746,0.001841,0.003481,0.010356,0.010356,0.0,0.004982
RG031,low,False,6,5,3,D3-0:no-remote,0,0,0,1,3.3e-05,0.0,0.006549,1.1e-05,1.7e-05,5.4e-05,5.4e-05,0.0,2.8e-05
RG032,high,False,6,5,4,D3-0:no-remote,0,0,0,1,0.031799,0.0,0.171776,0.052559,0.001346,0.068526,0.068526,0.0,0.028429
RG032,medium,False,6,5,4,D3-0:no-remote,0,0,0,1,0.003597,0.0,0.064624,0.003036,0.001476,0.007776,0.007776,0.0,0.004137
RG032,low,False,6,5,4,D3-0:no-remote,0,0,0,1,0.000109,0.0,0.01045,3.5e-05,5.1e-05,0.000161,0.000161,0.0,0.000137
RG033,high,False,6,5,4,D3-0:no-remote,0,0,0,1,0.037306,0.0,0.21969,0.03925,0.013069,0.089824,0.089824,0.0,0.042213
RG033,medium,False,6,5,4,D3-0:no-remote,0,0,0,1,0.001655,0.0,0.047479,0.001058,0.001214,0.003886,0.003886,0.0,0.002165
RG033,low,False,6,5,4,D3-0:no-remote,0,0,0,1,2.1e-05,0.0,0.00513,1.1e-05,1.2e-05,4.1e-05,4.1e-05,0.0,2.8e-05
RG034,high,False,6,5,5,D3-0:no-remote,0,0,0,1,0.03629,0.0,0.215211,0.046734,0.007292,0.085597,0.085597,0.0,0.038597
RG034,medium,False,6,5,5,D3-0:no-remote,0,0,0,1,0.001392,0.0,0.043427,0.000573,0.001246,0.003252,0.003252,0.0,0.001916
RG034,low,False,6,5,5,D3-0:no-remote,0,0,0,1,1.8e-05,0.0,0.00484,2e-06,1.4e-05,2.4e-05,2.4e-05,0.0,2.4e-05
RG035,high,False,6,5,6,D3-0:no-remote,0,0,0,1,0.031911,0.0,0.203185,0.024788,0.016042,0.078901,0.078901,0.0,0.038094
RG035,medium,False,6,5,6,D3-0:no-remote,0,0,0,1,0.001342,0.0,0.040566,9.2e-05,0.001937,0.002872,0.002872,0.0,0.001985
RG035,low,False,6,5,6,D3-0:no-remote,0,0,0,1,1.6e-05,0.0,0.004499,0.0,1.6e-05,1.7e-05,1.7e-05,0.0,2.1e-05
RG036,high,False,6,5,3,D3-0:no-remote,0,0,0,1,0.040649,0.0,0.210054,0.041476,0.014198,0.095792,0.095792,0.0,0.043792
RG036,medium,False,6,5,3,D3-0:no-remote,0,0,0,1,0.002884,0.0,0.059577,0.001586,0.0023,0.007018,0.007018,0.0,0.003602
RG036,low,False,6,5,3,D3-0:no-remote,0,0,0,1,2.5e-05,0.0,0.005549,1.1e-05,2e-05,5.6e-05,5.6e-05,0.0,3.3e-05
RG037,high,False,6,5,4,D3-0:no-remote,0,0,0,1,0.037165,0.0,0.217632,0.052851,0.004532,0.086716,0.086716,0.0,0.038211
RG037,medium,False,6,5,4,D3-0:no-remote,0,0,0,1,0.001341,0.0,0.043521,0.000635,0.001009,0.003242,0.003242,0.0,0.00182
RG037,low,False,6,5,4,D3-0:no-remote,0,0,0,1,1.7e-05,0.0,0.004787,2e-06,1.3e-05,2.4e-05,2.4e-05,0.0,2.3e-05
RG038,high,False,6,5,4,D3-0:no-remote,0,0,0,1,0.036677,0.0,0.218676,0.033026,0.01543,0.08978,0.08978,0.0,0.04277
RG038,medium,False,6,5,4,D3-0:no-remote,0,0,0,1,0.001601,0.0,0.046851,0.000629,0.001436,0.003818,0.003818,0.0,0.002201
