graph_id,evidence_level,agent,agent_rho,p_R,p_G,p_B,entropy,kl_to_A0,kl_to_A4,preferred_color_template,is_tree,edge_count
G06,low,A3,0.75,0.310089,0.344955,0.344955,1.097382,0.000199,0.0,0-0-1-2,False,8
G06,low,A4,1.0,0.310171,0.344915,0.344915,1.09739,0.000203,0.0,0-0-1-2,False,8
G07,high,A0,0.0,0.057714,0.471143,0.471143,0.873772,0.0,0.225295,0-0-2-1,False,6
G07,high,A1,0.25,0.12089,0.439555,0.439555,0.978048,0.028376,0.120916,0-0-2-1,False,6
G07,high,A2,0.5,0.209424,0.395288,0.395288,1.061178,0.131136,0.037639,0-0-2-1,False,6
G07,high,A3,0.75,0.287721,0.35614,0.35614,1.093813,0.262899,0.004875,0-0-2-1,False,6
G07,high,A4,1.0,0.3337,0.33315,0.33315,1.098612,0.354642,0.0,0-0-2-1,False,6
G07,medium,A0,0.0,0.20363,0.398185,0.398185,1.057395,0.0,0.022405,0-0-2-1,False,6
G07,medium,A1,0.25,0.244991,0.377505,0.377505,1.080097,0.005035,0.006694,0-0-2-1,False,6
G07,medium,A2,0.5,0.274987,0.362506,0.362506,1.090697,0.014551,0.001165,0-0-2-1,False,6
G07,medium,A3,0.75,0.290371,0.354815,0.354815,1.094361,0.021204,0.000102,0-0-2-1,False,6
G07,medium,A4,1.0,0.296882,0.351559,0.351559,1.095564,0.024368,0.0,0-0-2-1,False,6
G07,low,A0,0.0,0.300907,0.349546,0.349546,1.096205,0.0,0.000187,0-0-2-1,False,6
G07,low,A1,0.25,0.3052,0.3474,0.3474,1.096805,4.4e-05,5e-05,0-0-2-1,False,6
G07,low,A2,0.5,0.307967,0.346017,0.346017,1.097145,0.000118,8e-06,0-0-2-1,False,6
G07,low,A3,0.75,0.309289,0.345356,0.345356,1.097295,0.000166,1e-06,0-0-2-1,False,6
G07,low,A4,1.0,0.30983,0.345085,0.345085,1.097354,0.000188,0.0,0-0-2-1,False,6
G08,high,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.484563,0-2-1-0,False,6
G08,high,A1,0.25,0.481886,0.301885,0.216228,1.044507,0.054106,0.226058,0-2-1-0,False,6
G08,high,A2,0.5,0.623055,0.222521,0.154424,0.917643,0.18097,0.070783,0-2-1-0,False,6
G08,high,A3,0.75,0.730144,0.157369,0.112488,0.766417,0.332196,0.009475,0-2-1-0,False,6
G08,high,A4,1.0,0.787994,0.121877,0.090128,0.661167,0.437446,0.0,0-2-1-0,False,6
G08,medium,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.091422,0-2-1-0,False,6
G08,medium,A1,0.25,0.408599,0.312424,0.278977,1.085326,0.013286,0.036454,0-2-1-0,False,6
G08,medium,A2,0.5,0.473728,0.282168,0.244104,1.055172,0.04344,0.009633,0-2-1-0,False,6
G08,medium,A3,0.75,0.519383,0.259732,0.220886,1.023963,0.07465,0.001114,0-2-1-0,False,6
G08,medium,A4,1.0,0.542871,0.248116,0.209013,1.00465,0.093962,0.0,0-2-1-0,False,6
G08,low,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.006891,0-2-1-0,False,6
G08,low,A1,0.25,0.353057,0.32482,0.322122,1.09774,0.000873,0.002899,0-2-1-0,False,6
G08,low,A2,0.5,0.370715,0.316424,0.312861,1.095512,0.0031,0.000783,0-2-1-0,False,6
G08,low,A3,0.75,0.383361,0.310333,0.306306,1.093094,0.005518,9.1e-05,0-2-1-0,False,6
G08,low,A4,1.0,0.38995,0.307155,0.302895,1.091565,0.007047,0.0,0-2-1-0,False,6
G09,high,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,1.037929,0-2-1-1,False,7
G09,high,A1,0.25,0.17036,0.659279,0.17036,0.877682,0.220931,0.257593,0-2-1-1,False,7
G09,high,A2,0.5,0.080688,0.838624,0.080688,0.553802,0.54481,0.030548,0-2-1-1,False,7
G09,high,A3,0.75,0.051502,0.896996,0.051502,0.403031,0.695581,0.002008,0-2-1-1,False,7
G09,high,A4,1.0,0.042405,0.915191,0.042405,0.349146,0.749467,0.0,0-2-1-1,False,7
G09,medium,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.183531,0-2-1-1,False,7
G09,medium,A1,0.25,0.258837,0.482327,0.258837,1.051346,0.047266,0.046627,0-2-1-1,False,7
G09,medium,A2,0.5,0.212174,0.575652,0.212174,0.975792,0.12282,0.006821,0-2-1-1,False,7
G09,medium,A3,0.75,0.191678,0.616643,0.191678,0.931406,0.167206,0.000538,0-2-1-1,False,7
G09,medium,A4,1.0,0.18375,0.632499,0.18375,0.912344,0.186268,0.0,0-2-1-1,False,7
G09,low,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.009306,0-2-1-1,False,7
G09,low,A1,0.25,0.31776,0.36448,0.31776,1.096461,0.002151,0.002572,0-2-1-1,False,7
G09,low,A2,0.5,0.30761,0.384781,0.30761,1.092794,0.005819,0.000449,0-2-1-1,False,7
G09,low,A3,0.75,0.302476,0.395048,0.302476,1.090273,0.008339,4e-05,0-2-1-1,False,7
G09,low,A4,1.0,0.30029,0.399419,0.30029,1.089066,0.009546,0.0,0-2-1-1,False,7
G10,high,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.255342,0-1-2-0,False,5
G10,high,A1,0.25,0.456089,0.242779,0.301132,1.06316,0.035452,0.107732,0-1-2-0,False,5
G10,high,A2,0.5,0.5705,0.188409,0.241091,0.977641,0.120971,0.027239,0-1-2-0,False,5
G10,high,A3,0.75,0.64494,0.159931,0.195129,0.894884,0.203728,0.003041,0-1-2-0,False,5
G10,high,A4,1.0,0.681077,0.147254,0.171669,0.84618,0.252432,0.0,0-1-2-0,False,5
G10,medium,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.017886,0-1-2-0,False,5
G10,medium,A1,0.25,0.378358,0.300093,0.32155,1.093774,0.004839,0.0044,0-1-2-0,False,5
G10,medium,A2,0.5,0.405983,0.285092,0.308924,1.086626,0.011986,0.000704,0-1-2-0,False,5
G10,medium,A3,0.75,0.419084,0.279268,0.301648,1.082224,0.016389,6e-05,0-1-2-0,False,5
G10,medium,A4,1.0,0.424455,0.277102,0.298444,1.080231,0.018381,0.0,0-1-2-0,False,5
G10,low,A0,0.0,0.333333,0.333333,0.333333,1.098612,0.0,0.000645,0-1-2-0,False,5
G10,low,A1,0.25,0.342588,0.327933,0.329479,1.098419,0.000194,0.000134,0-1-2-0,False,5
G10,low,A2,0.5,0.34746,0.325379,0.327161,1.098164,0.000448,1.9e-05,0-1-2-0,False,5
