graph_id,n_nodes,evidence_level,agent,agent_rho,p_R,p_G,p_B,entropy,kl_to_A0,kl_to_A4,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,preferred_color_template
RG004,5,medium,A3,0.75,0.287877,0.512664,0.199459,1.022557,0.032041,0.000189,4,3,D3-0:no-remote,0,0,0,1,0-2-2-1
RG004,5,medium,A4,1.0,0.279778,0.52132,0.198902,1.017168,0.037056,0.0,4,3,D3-0:no-remote,0,0,0,1,0-2-2-1
RG004,5,low,A0,0.0,0.349546,0.349546,0.300907,1.096205,0.0,0.000209,4,3,D3-0:no-remote,0,0,0,1,0-2-2-1
RG004,5,low,A1,0.25,0.346289,0.353117,0.300594,1.096125,3.4e-05,7.5e-05,4,3,D3-0:no-remote,0,0,0,1,0-2-2-1
RG004,5,low,A2,0.5,0.343683,0.356306,0.300011,1.095955,0.000116,1.4e-05,4,3,D3-0:no-remote,0,0,0,1,0-2-2-1
RG004,5,low,A3,0.75,0.342375,0.358009,0.299616,1.095833,0.000178,1e-06,4,3,D3-0:no-remote,0,0,0,1,0-2-2-1
RG004,5,low,A4,1.0,0.341836,0.358733,0.299431,1.095775,0.000209,0.0,4,3,D3-0:no-remote,0,0,0,1,0-2-2-1
RG005,5,high,A0,0.0,0.057714,0.471143,0.471143,0.873772,0.0,0.237319,4,3,D3-0:no-remote,0,0,0,1,0-2-0-1
RG005,5,high,A1,0.25,0.114768,0.509048,0.376185,0.959957,0.033611,0.149238,4,3,D3-0:no-remote,0,0,0,1,0-2-0-1
RG005,5,high,A2,0.5,0.206346,0.468832,0.324823,1.046056,0.139795,0.059122,4,3,D3-0:no-remote,0,0,0,1,0-2-0-1
RG005,5,high,A3,0.75,0.292086,0.38668,0.321234,1.091668,0.27421,0.009321,4,3,D3-0:no-remote,0,0,0,1,0-2-0-1
RG005,5,high,A4,1.0,0.34328,0.32678,0.32994,1.098383,0.374986,0.0,4,3,D3-0:no-remote,0,0,0,1,0-2-0-1
RG005,5,medium,A0,0.0,0.20363,0.398185,0.398185,1.057395,0.0,0.023645,4,3,D3-0:no-remote,0,0,0,1,0-2-0-1
RG005,5,medium,A1,0.25,0.242628,0.394469,0.362903,1.078403,0.005145,0.00892,4,3,D3-0:no-remote,0,0,0,1,0-2-0-1
RG005,5,medium,A2,0.5,0.275605,0.374296,0.350098,1.090463,0.0152,0.001961,4,3,D3-0:no-remote,0,0,0,1,0-2-0-1
RG005,5,medium,A3,0.75,0.292581,0.356894,0.350525,1.094763,0.022283,0.000199,4,3,D3-0:no-remote,0,0,0,1,0-2-0-1
RG005,5,medium,A4,1.0,0.299592,0.348033,0.352375,1.095991,0.025758,0.0,4,3,D3-0:no-remote,0,0,0,1,0-2-0-1
RG005,5,low,A0,0.0,0.300907,0.349546,0.349546,1.096205,0.0,0.000217,4,3,D3-0:no-remote,0,0,0,1,0-2-0-1
