graph_id,evidence_level,variant,js_to_M0,p_R,p_G,p_B
RG016,high,clipped,0.0,0.333333,0.333333,0.333333
RG016,medium,pure,0.0,0.333333,0.333333,0.333333
RG016,medium,weighted,0.0047425704,0.286093,0.286093,0.427813
RG016,medium,clipped,-0.0,0.333333,0.333333,0.333333
RG016,low,pure,-0.0,0.333333,0.333333,0.333333
RG016,low,weighted,0.000227734,0.323199,0.323199,0.353601
RG016,low,clipped,0.0,0.333333,0.333333,0.333333
RG017,high,pure,0.0,0.333333,0.333333,0.333333
RG017,high,weighted,0.0,0.333333,0.333333,0.333333
RG017,high,clipped,0.0,0.333333,0.333333,0.333333
RG017,medium,pure,0.0,0.333333,0.333333,0.333333
RG017,medium,weighted,0.0,0.333333,0.333333,0.333333
RG017,medium,clipped,0.0,0.333333,0.333333,0.333333
RG017,low,pure,0.0,0.333333,0.333333,0.333333
RG017,low,weighted,0.0,0.333333,0.333333,0.333333
RG017,low,clipped,0.0,0.333333,0.333333,0.333333
RG018,high,pure,-0.0,0.098391,0.803217,0.098391
RG018,high,weighted,0.0248182962,0.026669,0.946662,0.026669
RG018,high,clipped,0.0386078597,0.227277,0.545447,0.227277
RG018,medium,pure,0.0,0.252817,0.494367,0.252817
RG018,medium,weighted,0.0067633444,0.19505,0.609901,0.19505
RG018,medium,clipped,0.0024043316,0.287363,0.425275,0.287363
RG018,low,pure,0.0,0.316292,0.367417,0.316292
RG018,low,weighted,0.0003237562,0.303943,0.392115,0.303943
RG018,low,clipped,0.0001141738,0.323545,0.352909,0.323545
RG019,high,pure,-0.0,0.098391,0.098391,0.803217
RG019,high,weighted,0.0248182962,0.026669,0.026669,0.946662
RG019,high,clipped,0.0386078597,0.227277,0.227277,0.545447
RG019,medium,pure,0.0,0.252817,0.252817,0.494367
RG019,medium,weighted,0.0067633444,0.19505,0.19505,0.609901
RG019,medium,clipped,0.0024043316,0.287363,0.287363,0.425275
RG019,low,pure,0.0,0.316292,0.316292,0.367417
RG019,low,weighted,0.0003237562,0.303943,0.303943,0.392115
RG019,low,clipped,0.0001141738,0.323545,0.323545,0.352909
RG020,high,pure,-0.0,0.098391,0.803217,0.098391
RG020,high,weighted,0.0244848018,0.009043,0.917136,0.073822
RG020,high,clipped,0.0386078597,0.227277,0.545447,0.227277
RG020,medium,pure,0.0,0.252817,0.494367,0.252817
RG020,medium,weighted,0.0113260768,0.136463,0.596692,0.266845
RG020,medium,clipped,0.0024043316,0.287363,0.425275,0.287363
RG020,low,pure,0.0,0.316292,0.367417,0.316292
RG020,low,weighted,0.0007408618,0.281524,0.391447,0.327029
RG020,low,clipped,0.0001141738,0.323545,0.352909,0.323545
RG021,high,pure,0.0,0.098391,0.803217,0.098391
RG021,high,weighted,0.0246232073,0.017441,0.942166,0.040394
RG021,high,clipped,0.0386078597,0.227277,0.545447,0.227277
RG021,medium,pure,-0.0,0.252817,0.494367,0.252817
RG021,medium,weighted,0.0074984627,0.16997,0.607765,0.222265
RG021,medium,clipped,0.0024043316,0.287363,0.425275,0.287363
RG021,low,pure,0.0,0.316292,0.367417,0.316292
RG021,low,weighted,0.0003905503,0.294889,0.392008,0.313103
RG021,low,clipped,0.0001141738,0.323545,0.352909,0.323545
RG022,high,pure,-0.0,0.098391,0.803217,0.098391
RG022,high,weighted,0.0248182962,0.026669,0.946662,0.026669
RG022,high,clipped,0.0386078597,0.227277,0.545447,0.227277
RG022,medium,pure,0.0,0.252817,0.494367,0.252817
RG022,medium,weighted,0.0067633444,0.19505,0.609901,0.19505
RG022,medium,clipped,0.0024043316,0.287363,0.425275,0.287363
RG022,low,pure,0.0,0.316292,0.367417,0.316292
RG022,low,weighted,0.0003237562,0.303943,0.392115,0.303943
RG022,low,clipped,0.0001141738,0.323545,0.352909,0.323545
RG023,high,pure,-0.0,0.098391,0.803217,0.098391
RG023,high,weighted,0.0248182962,0.026669,0.946662,0.026669
RG023,high,clipped,0.0386078597,0.227277,0.545447,0.227277
RG023,medium,pure,0.0,0.252817,0.494367,0.252817
RG023,medium,weighted,0.0067633444,0.19505,0.609901,0.19505
RG023,medium,clipped,0.0024043316,0.287363,0.425275,0.287363
RG023,low,pure,0.0,0.316292,0.367417,0.316292
RG023,low,weighted,0.0003237562,0.303943,0.392115,0.303943
RG023,low,clipped,0.0001141738,0.323545,0.352909,0.323545
RG024,high,pure,-0.0,0.098391,0.803217,0.098391
RG024,high,weighted,0.0246232073,0.017441,0.942166,0.040394
RG024,high,clipped,0.0386078597,0.227277,0.545447,0.227277
RG024,medium,pure,-0.0,0.252817,0.494367,0.252817
RG024,medium,weighted,0.0074984627,0.16997,0.607765,0.222265
RG024,medium,clipped,0.0024043316,0.287363,0.425275,0.287363
RG024,low,pure,0.0,0.316292,0.367417,0.316292
RG024,low,weighted,0.0003905503,0.294889,0.392008,0.313103
RG024,low,clipped,0.0001141738,0.323545,0.352909,0.323545
RG025,high,pure,0.0,0.098391,0.803217,0.098391
RG025,high,weighted,0.0244848018,0.009043,0.917136,0.073822
RG025,high,clipped,0.0386078597,0.227277,0.545447,0.227277
RG025,medium,pure,-0.0,0.252817,0.494367,0.252817
RG025,medium,weighted,0.0113260768,0.136463,0.596692,0.266845
RG025,medium,clipped,0.0024043316,0.287363,0.425275,0.287363
RG025,low,pure,0.0,0.316292,0.367417,0.316292
RG025,low,weighted,0.0007408618,0.281524,0.391447,0.327029
RG025,low,clipped,0.0001141738,0.323545,0.352909,0.323545
RG026,high,pure,-0.0,0.098391,0.803217,0.098391
RG026,high,weighted,0.0248182962,0.026669,0.946662,0.026669
RG026,high,clipped,0.0386078597,0.227277,0.545447,0.227277
RG026,medium,pure,0.0,0.252817,0.494367,0.252817
RG026,medium,weighted,0.0067633444,0.19505,0.609901,0.19505
RG026,medium,clipped,0.0024043316,0.287363,0.425275,0.287363
RG026,low,pure,0.0,0.316292,0.367417,0.316292
RG026,low,weighted,0.0003237562,0.303943,0.392115,0.303943
RG026,low,clipped,0.0001141738,0.323545,0.352909,0.323545
RG027,high,pure,-0.0,0.098391,0.803217,0.098391
RG027,high,weighted,0.0248182962,0.026669,0.946662,0.026669
RG027,high,clipped,0.0386078597,0.227277,0.545447,0.227277
RG027,medium,pure,0.0,0.252817,0.494367,0.252817
RG027,medium,weighted,0.0067633444,0.19505,0.609901,0.19505
RG027,medium,clipped,0.0024043316,0.287363,0.425275,0.287363
RG027,low,pure,0.0,0.316292,0.367417,0.316292
RG027,low,weighted,0.0003237562,0.303943,0.392115,0.303943
RG027,low,clipped,0.0001141738,0.323545,0.352909,0.323545
RG028,high,pure,0.0,0.000201,0.109107,0.890693
RG028,high,weighted,0.0140554435,1e-06,0.0274,0.9726
RG028,high,clipped,0.1221699067,0.241392,0.245772,0.512836
RG028,medium,pure,-0.0,0.043294,0.323711,0.632995
RG028,medium,weighted,0.0123892319,0.007863,0.240407,0.751729
RG028,medium,clipped,0.0723231269,0.304849,0.322426,0.372725
RG028,low,pure,0.0,0.227872,0.357195,0.414933
RG028,low,weighted,0.0030044181,0.168998,0.362868,0.468134
RG028,low,clipped,0.0064339474,0.325921,0.33451,0.339569
RG029,high,pure,-0.0,0.098391,0.803217,0.098391
RG029,high,weighted,0.0365320912,0.002426,0.948871,0.048703
RG029,high,clipped,0.1156823394,0.33136,0.33728,0.33136
RG029,medium,pure,0.0,0.252817,0.494367,0.252817
RG029,medium,weighted,0.023425269,0.096752,0.651062,0.252186
RG029,medium,clipped,0.0118676292,0.328651,0.342698,0.328651
RG029,low,pure,0.0,0.316292,0.367417,0.316292
RG029,low,weighted,0.0016639375,0.265271,0.406143,0.328586
RG029,low,clipped,0.0005467154,0.332078,0.335843,0.332078
RG030,high,pure,-0.0,0.098391,0.803217,0.098391
RG030,high,weighted,0.0471271118,0.002112,0.976111,0.021777
RG030,high,clipped,0.1156823394,0.33136,0.33728,0.33136
RG030,medium,pure,0.0,0.252817,0.494367,0.252817
RG030,medium,weighted,0.0273970143,0.098003,0.695533,0.206464
RG030,medium,clipped,0.0118676292,0.328651,0.342698,0.328651
RG030,low,pure,0.0,0.316292,0.367417,0.316292
RG030,low,weighted,0.0017298699,0.26806,0.415323,0.316617
RG030,low,clipped,0.0005467154,0.332078,0.335843,0.332078
RG031,high,pure,0.0,0.496277,0.496277,0.007447
RG031,high,weighted,0.0839803517,0.128778,0.868599,0.002623
